normal,tumor
GSM2450408_10-1n_CytoScanHD_Array_,GSM2450409_9-1c_CytoScanHD_Array_
GSM2450411_13-2n_CytoScanHD_Array_,GSM2450412_12-2c_CytoScanHD_Array_
